LastUpdate,Asset,AssetID,TotalNetGeneration
Dec 17, 2025 05:35,ASSET,,TNG
Dec 17, 2025 05:35,Ardenville Wind,ARD1,60
Dec 17, 2025 05:35,BUL1 Bull Creek,BUL1,12
Dec 17, 2025 05:35,BUL2 Bull Creek,BUL2,12
Dec 17, 2025 05:35,Blackspring Ridge,BSR1,187
Dec 17, 2025 05:35,Blue Trail Wind,BTR1,52
Dec 17, 2025 05:35,Buffalo Atlee 1,BFL1,7
Dec 17, 2025 05:35,Buffalo Atlee 2,BFL2,16
Dec 17, 2025 05:35,Buffalo Atlee 3,BFL3,13
Dec 17, 2025 05:35,Buffalo Atlee 4,BFL4,7
Dec 17, 2025 05:35,Buffalo Plains,BPW1,103
Dec 17, 2025 05:35,Castle River #1,CR1,0
Dec 17, 2025 05:35,Castle Rock Ridge 2,CRR2,0
Dec 17, 2025 05:35,Castle Rock Wind Farm,CRR1,0
Dec 17, 2025 05:35,Cowley Ridge,CRE3,0
Dec 17, 2025 05:35,Cypress 1,CYP1,145
Dec 17, 2025 05:35,Cypress 2,CYP2,23
Dec 17, 2025 05:35,Enmax Taber,TAB1,36
Dec 17, 2025 05:35,Forty Mile Bow Island,FRM1,115
Dec 17, 2025 05:35,Forty Mile Granlea,FMG1,93
Dec 17, 2025 05:35,Garden Plain,GDP1,112
Dec 17, 2025 05:35,Ghost Pine,NEP1,33
Dec 17, 2025 05:35,Grizzly Bear,GRZ1,147
Dec 17, 2025 05:35,Halkirk 2,HAL2,94
Dec 17, 2025 05:35,Halkirk Wind Power Facility,HAL1,76
Dec 17, 2025 05:35,Hand Hills,HHW1,103
Dec 17, 2025 05:35,Hilda Wind,HLD1,80
Dec 17, 2025 05:35,Jenner 1,JNR1,93
Dec 17, 2025 05:35,Jenner 2,JNR2,45
Dec 17, 2025 05:35,Jenner 3,JNR3,67
Dec 17, 2025 05:35,Kettles Hill,KHW1,0
Dec 17, 2025 05:35,Lanfine Wind,LAN1,25
Dec 17, 2025 05:35,McBride Lake Windfarm,AKE1,56
Dec 17, 2025 05:35,Oldman 2 Wind Farm 1,OWF1,0
Dec 17, 2025 05:35,Paintearth Wind Project,PAW1,157
Dec 17, 2025 05:35,Rattlesnake Ridge Wind,RTL1,126
Dec 17, 2025 05:35,Riverview,RIV1,0
Dec 17, 2025 05:35,Sharp Hill Wind,SHH1,259
Dec 17, 2025 05:35,Soderglen Wind,GWW1,37
Dec 17, 2025 05:35,Stirling Wind,SWP1,87
Dec 17, 2025 05:35,Summerview 1,IEW1,1
Dec 17, 2025 05:35,Summerview 2,IEW2,0
Dec 17, 2025 05:35,Suncor Chin Chute,SCR3,10
Dec 17, 2025 05:35,Suncor Magrath,SCR2,27
Dec 17, 2025 05:35,Wheatland Wind,WHE1,57
Dec 17, 2025 05:35,Whitla 1,WHT1,193
Dec 17, 2025 05:35,Whitla 2,WHT2,70
Dec 17, 2025 05:35,Wild Rose,WIR1,89
Dec 17, 2025 05:35,Windrise,WRW1,155
Dec 17, 2025 05:35,Winnifred Wind,WIN1,61
Dec 17, 2025 05:35,Wintering Hills,SCR4,68
Dec 17, 2025 05:35,ASSET,,TNG
Dec 17, 2025 05:35,APF Athabasca,AFG1,74
Dec 17, 2025 05:35,Bonnybrook,BON1,5
Dec 17, 2025 05:35,Cancarb Medicine Hat,CCMH,20
Dec 17, 2025 05:35,DAI1 Daishowa,DAI1,42
Dec 17, 2025 05:35,ETL1 Ethel Lake,ETL1,0
Dec 17, 2025 05:35,Gold Creek Facility,GOC1,0
Dec 17, 2025 05:35,Grande Prairie EcoPower,GPEC,0
Dec 17, 2025 05:35,NRGreen,NRG3,13
Dec 17, 2025 05:35,Slave Lake,SLP1,0
Dec 17, 2025 05:35,Swan Hills Geothermal,SRL1,0
Dec 17, 2025 05:35,Weldwood #1,WWD1,23
Dec 17, 2025 05:35,Westlock,WST1,11
Dec 17, 2025 05:35,Weyerhaeuser,WEY1,42
Dec 17, 2025 05:35,Whitecourt Power,EAGL,17
